"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",6.792,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",6.624,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",6.504,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",6.096,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",6.376,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",6.363,
"ISL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",6.374,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",11.011,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",10.459,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",9.881,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",10.056,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",9.145,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",8.78,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",8.513,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",8.376,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",7.833,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",7.657,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",7.91,
"IRL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",7.848,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",23.864,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",21.213,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",20.088,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",21.195,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",18.635,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",17.911,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",16.909,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",17.81,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",15.557,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",15.875,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",16.033,
"ITA","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",15.848,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",12.984,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",12.22,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",11.717,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",12.885,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",13.317,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",13.575,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",13.924,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",13.601,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",13.544,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",13.761,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",13.658,
"JPN","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",13.647,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",24.251,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",23.574,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",22.903,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",25.516,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",25.842,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",27.57,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",28.209,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",27.004,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",27.828,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",26.901,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",27.448,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",27.447,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",13.148,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",12.561,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",13.202,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",12.862,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",11.515,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",11.921,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",10.16,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",10.628,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",9.933,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",9.855,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",10.154,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",10.089,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",30.248,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",23.122,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",21.484,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",24.59,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",22.704,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",23.508,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",21.961,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",22.042,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",21.213,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",20.365,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",20.361,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",20.108,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",16.793,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",15.3,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",15.71,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",15.51,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",13.819,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",12.734,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",12.192,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",12.651,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",11.523,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",12.423,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",12.073,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",12.033,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",6.757,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",6.354,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",6.294,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",6.105,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",6.228,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",6.257,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",6.049,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",6.004,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",6.078,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",5.984,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",6.035,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",6.05,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",10.138,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",8.229,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",8.174,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",9.14,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",7.62,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",7.345,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",7.497,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",7.066,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",6.639,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",6.689,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",6.726,
"NOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",6.668,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",27.979,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",26.998,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",27.365,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",27.158,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",24.682,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",23.776,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",24.017,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",22.865,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",21.916,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",22.89,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",22.865,
"POL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",22.766,
"PRT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",11.581,
"PRT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",10.778,
"PRT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",9.773,
"PRT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",10.45,
"PRT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",9.14,
"PRT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",8.828,
"PRT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",8.658,
"PRT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",8.804,
"PRT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",7.828,
"PRT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",8.396,
"PRT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",8.216,
"PRT","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",8.176,
"SVK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",22.937,
"SVK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",22.393,
"SVK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",21.662,
"SVK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",22.805,
"SVK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",20.519,
"SVK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",19.813,
"SVK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",19.487,
"SVK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",19.284,
"SVK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",18.03,
"SVK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",18.41,
"SVK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",18.659,
"SVK","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",18.526,
"ESP","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",14.039,
"ESP","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",12.668,
"ESP","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",11.795,
"ESP","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",12.742,
"ESP","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",11.463,
"ESP","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",10.628,
"ESP","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",10.09,
"ESP","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",10.819,
"ESP","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",9.82,
"ESP","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",10.022,
"ESP","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",10.033,
"ESP","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",9.993,
"SWE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",8.564,
"SWE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",7.394,
"SWE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",7.558,
"SWE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",7.615,
"SWE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",6.285,
"SWE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",6.281,
"SWE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",6.558,
"SWE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",5.965,
"SWE","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",5.531,
